?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  192.169.2.1 ( 283.00 248.00 )
  192.169.2.2 ( 451.00 201.00 )
  192.169.2.3 ( 516.00 230.00 )
  192.169.2.4 ( 324.00 43.00 )
  192.169.2.5 ( 459.00 31.00 )
  192.169.2.6 ( 339.00 151.00 )
  192.169.2.7 ( 185.00 323.00 )
  192.169.2.8 ( 384.00 298.00 )
  192.169.2.9 ( 318.00 353.00 )
  192.169.2.10 ( 147.00 403.00 )
  192.169.2.11 ( 56.00 132.00 )
  192.169.2.12 ( 253.00 466.00 )
  192.169.2.13 ( 216.00 59.00 )
  192.169.2.14 ( 97.00 218.00 )
  192.169.2.15 ( 463.00 431.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( 192.169.2.1 192.169.2.6 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( 192.169.2.1 192.169.2.7 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( 192.169.2.1 192.169.2.8 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( 192.169.2.2 192.169.2.3 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( 192.169.2.2 192.169.2.5 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1790000.00 4000.00 1930000.00 )
  L6 ( 192.169.2.2 192.169.2.6 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( 192.169.2.3 192.169.2.5 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( 192.169.2.3 192.169.2.8 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( 192.169.2.4 192.169.2.5 ) 0.00 0.00 67.80 0.00 ( 1000.00 1295000.00 4000.00 1435000.00 )
  L10 ( 192.169.2.4 192.169.2.6 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1925000.00 4000.00 2065000.00 )
  L11 ( 192.169.2.6 192.169.2.13 ) 2000.00 0.00 67.80 0.00 ( 1000.00 3200000.00 4000.00 3340000.00 )
  L12 ( 192.169.2.7 192.169.2.10 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1145000.00 4000.00 1285000.00 )
  L13 ( 192.169.2.7 192.169.2.14 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1445000.00 4000.00 1585000.00 )
  L14 ( 192.169.2.8 192.169.2.9 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1115000.00 4000.00 1255000.00 )
  L15 ( 192.169.2.8 192.169.2.15 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1190000.00 4000.00 1330000.00 )
  L16 ( 192.169.2.9 192.169.2.10 ) 2000.00 0.00 67.80 0.00 ( 1000.00 935000.00 4000.00 1075000.00 )
  L17 ( 192.169.2.9 192.169.2.12 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1130000.00 4000.00 1270000.00 )
  L18 ( 192.169.2.9 192.169.2.15 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1070000.00 4000.00 1210000.00 )
  L19 ( 192.169.2.10 192.169.2.12 ) 0.00 0.00 67.80 0.00 ( 1000.00 1505000.00 4000.00 1645000.00 )
  L20 ( 192.169.2.11 192.169.2.13 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1085000.00 4000.00 1225000.00 )
  L21 ( 192.169.2.11 192.169.2.14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1700000.00 4000.00 1840000.00 )
  L22 ( 192.169.2.13 192.169.2.14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 830000.00 4000.00 970000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D52 ( 192.169.2.4 192.169.2.11 ) 1 145.00 UNLIMITED
  D53 ( 192.169.2.4 192.169.2.12 ) 1 145.00 UNLIMITED
  D54 ( 192.169.2.4 192.169.2.13 ) 1 1521.00 UNLIMITED
  D55 ( 192.169.2.4 192.169.2.14 ) 1 157.00 UNLIMITED
  D56 ( 192.169.2.4 192.169.2.15 ) 1 192.00 UNLIMITED
  D57 ( 192.169.2.5 192.169.2.1 ) 1 512.00 UNLIMITED
  D58 ( 192.169.2.5 192.169.2.2 ) 1 905.00 UNLIMITED
  D59 ( 192.169.2.5 192.169.2.3 ) 1 286.00 UNLIMITED
  D60 ( 192.169.2.5 192.169.2.4 ) 1 1177.00 UNLIMITED
  D61 ( 192.169.2.5 192.169.2.6 ) 1 98.00 UNLIMITED
  D62 ( 192.169.2.5 192.169.2.7 ) 1 37.00 UNLIMITED
  D63 ( 192.169.2.5 192.169.2.8 ) 1 120.00 UNLIMITED
  D64 ( 192.169.2.5 192.169.2.9 ) 1 61.00 UNLIMITED
  D65 ( 192.169.2.5 192.169.2.10 ) 1 61.00 UNLIMITED
  D66 ( 192.169.2.5 192.169.2.11 ) 1 37.00 UNLIMITED
  D67 ( 192.169.2.5 192.169.2.12 ) 1 86.00 UNLIMITED
  D68 ( 192.169.2.5 192.169.2.13 ) 1 85.00 UNLIMITED
  D69 ( 192.169.2.5 192.169.2.14 ) 1 38.00 UNLIMITED
  D70 ( 192.169.2.5 192.169.2.15 ) 1 86.00 UNLIMITED
  D71 ( 192.169.2.6 192.169.2.1 ) 1 1903.00 UNLIMITED
  D72 ( 192.169.2.6 192.169.2.2 ) 1 7275.00 UNLIMITED
  D73 ( 192.169.2.6 192.169.2.3 ) 1 298.00 UNLIMITED
  D74 ( 192.169.2.6 192.169.2.4 ) 1 1106.00 UNLIMITED
  D75 ( 192.169.2.6 192.169.2.5 ) 1 121.00 UNLIMITED
  D76 ( 192.169.2.6 192.169.2.7 ) 1 97.00 UNLIMITED
  D77 ( 192.169.2.6 192.169.2.8 ) 1 874.00 UNLIMITED
  D78 ( 192.169.2.6 192.169.2.9 ) 1 86.00 UNLIMITED
  D79 ( 192.169.2.6 192.169.2.10 ) 1 575.00 UNLIMITED
  D80 ( 192.169.2.6 192.169.2.11 ) 1 181.00 UNLIMITED
  D81 ( 192.169.2.6 192.169.2.12 ) 1 132.00 UNLIMITED
  D82 ( 192.169.2.6 192.169.2.13 ) 1 158.00 UNLIMITED
  D83 ( 192.169.2.6 192.169.2.14 ) 1 240.00 UNLIMITED
  D84 ( 192.169.2.6 192.169.2.15 ) 1 264.00 UNLIMITED
  D85 ( 192.169.2.7 192.169.2.1 ) 1 536.00 UNLIMITED
  D86 ( 192.169.2.7 192.169.2.2 ) 1 2189.00 UNLIMITED
  D87 ( 192.169.2.7 192.169.2.3 ) 1 49.00 UNLIMITED
  D88 ( 192.169.2.7 192.169.2.4 ) 1 84.00 UNLIMITED
  D89 ( 192.169.2.7 192.169.2.5 ) 1 48.00 UNLIMITED
  D90 ( 192.169.2.7 192.169.2.6 ) 1 120.00 UNLIMITED
  D91 ( 192.169.2.7 192.169.2.8 ) 1 61.00 UNLIMITED
  D92 ( 192.169.2.7 192.169.2.9 ) 1 265.00 UNLIMITED
  D93 ( 192.169.2.7 192.169.2.10 ) 1 193.00 UNLIMITED
  D94 ( 192.169.2.7 192.169.2.11 ) 1 97.00 UNLIMITED
  D95 ( 192.169.2.7 192.169.2.12 ) 1 60.00 UNLIMITED
  D96 ( 192.169.2.7 192.169.2.13 ) 1 61.00 UNLIMITED
  D97 ( 192.169.2.7 192.169.2.14 ) 1 73.00 UNLIMITED
  D98 ( 192.169.2.7 192.169.2.15 ) 1 192.00 UNLIMITED
  D99 ( 192.169.2.8 192.169.2.1 ) 1 691.00 UNLIMITED
  D100 ( 192.169.2.8 192.169.2.2 ) 1 5884.00 UNLIMITED
  D101 ( 192.169.2.8 192.169.2.3 ) 1 1368.00 UNLIMITED
  D102 ( 192.169.2.8 192.169.2.4 ) 1 192.00 UNLIMITED
  D103 ( 192.169.2.8 192.169.2.5 ) 1 143.00 UNLIMITED
  D104 ( 192.169.2.8 192.169.2.6 ) 1 1047.00 UNLIMITED
  D105 ( 192.169.2.8 192.169.2.7 ) 1 73.00 UNLIMITED
  D106 ( 192.169.2.8 192.169.2.9 ) 1 204.00 UNLIMITED
  D107 ( 192.169.2.8 192.169.2.10 ) 1 181.00 UNLIMITED
  D108 ( 192.169.2.8 192.169.2.11 ) 1 97.00 UNLIMITED
  D109 ( 192.169.2.8 192.169.2.12 ) 1 145.00 UNLIMITED
  D110 ( 192.169.2.8 192.169.2.13 ) 1 157.00 UNLIMITED
  D111 ( 192.169.2.8 192.169.2.14 ) 1 241.00 UNLIMITED
  D112 ( 192.169.2.8 192.169.2.15 ) 1 516.00 UNLIMITED
  D113 ( 192.169.2.9 192.169.2.1 ) 1 584.00 UNLIMITED
  D114 ( 192.169.2.9 192.169.2.2 ) 1 299.00 UNLIMITED
  D115 ( 192.169.2.9 192.169.2.3 ) 1 108.00 UNLIMITED
  D116 ( 192.169.2.9 192.169.2.4 ) 1 84.00 UNLIMITED
  D117 ( 192.169.2.9 192.169.2.5 ) 1 73.00 UNLIMITED
  D118 ( 192.169.2.9 192.169.2.6 ) 1 108.00 UNLIMITED
  D119 ( 192.169.2.9 192.169.2.7 ) 1 322.00 UNLIMITED
  D120 ( 192.169.2.9 192.169.2.8 ) 1 250.00 UNLIMITED
  D121 ( 192.169.2.9 192.169.2.10 ) 1 204.00 UNLIMITED
  D122 ( 192.169.2.9 192.169.2.11 ) 1 73.00 UNLIMITED
  D123 ( 192.169.2.9 192.169.2.12 ) 1 276.00 UNLIMITED
  D124 ( 192.169.2.9 192.169.2.13 ) 1 61.00 UNLIMITED
  D125 ( 192.169.2.9 192.169.2.14 ) 1 120.00 UNLIMITED
  D126 ( 192.169.2.9 192.169.2.15 ) 1 252.00 UNLIMITED
  D127 ( 192.169.2.10 192.169.2.1 ) 1 678.00 UNLIMITED
  D128 ( 192.169.2.10 192.169.2.2 ) 1 2331.00 UNLIMITED
  D129 ( 192.169.2.10 192.169.2.3 ) 1 120.00 UNLIMITED
  D130 ( 192.169.2.10 192.169.2.4 ) 1 286.00 UNLIMITED
  D131 ( 192.169.2.10 192.169.2.5 ) 1 73.00 UNLIMITED
  D132 ( 192.169.2.10 192.169.2.6 ) 1 690.00 UNLIMITED
  D133 ( 192.169.2.10 192.169.2.7 ) 1 228.00 UNLIMITED
  D134 ( 192.169.2.10 192.169.2.8 ) 1 215.00 UNLIMITED
  D135 ( 192.169.2.10 192.169.2.9 ) 1 250.00 UNLIMITED
  D136 ( 192.169.2.10 192.169.2.11 ) 1 419.00 UNLIMITED
  D137 ( 192.169.2.10 192.169.2.12 ) 1 1209.00 UNLIMITED
  D138 ( 192.169.2.10 192.169.2.13 ) 1 910.00 UNLIMITED
  D139 ( 192.169.2.10 192.169.2.14 ) 1 1137.00 UNLIMITED
  D140 ( 192.169.2.10 192.169.2.15 ) 1 670.00 UNLIMITED
  D141 ( 192.169.2.11 192.169.2.1 ) 1 298.00 UNLIMITED
  D142 ( 192.169.2.11 192.169.2.2 ) 1 905.00 UNLIMITED
  D143 ( 192.169.2.11 192.169.2.3 ) 1 120.00 UNLIMITED
  D144 ( 192.169.2.11 192.169.2.4 ) 1 180.00 UNLIMITED
  D145 ( 192.169.2.11 192.169.2.5 ) 1 49.00 UNLIMITED
  D146 ( 192.169.2.11 192.169.2.6 ) 1 215.00 UNLIMITED
  D147 ( 192.169.2.11 192.169.2.7 ) 1 120.00 UNLIMITED
  D148 ( 192.169.2.11 192.169.2.8 ) 1 120.00 UNLIMITED
  D149 ( 192.169.2.11 192.169.2.9 ) 1 84.00 UNLIMITED
  D150 ( 192.169.2.11 192.169.2.10 ) 1 500.00 UNLIMITED
  D151 ( 192.169.2.11 192.169.2.12 ) 1 240.00 UNLIMITED
  D152 ( 192.169.2.11 192.169.2.13 ) 1 612.00 UNLIMITED
  D153 ( 192.169.2.11 192.169.2.14 ) 1 384.00 UNLIMITED
  D154 ( 192.169.2.11 192.169.2.15 ) 1 157.00 UNLIMITED
  D155 ( 192.169.2.12 192.169.2.1 ) 1 833.00 UNLIMITED
  D156 ( 192.169.2.12 192.169.2.2 ) 1 1298.00 UNLIMITED
  D157 ( 192.169.2.12 192.169.2.3 ) 1 180.00 UNLIMITED
  D158 ( 192.169.2.12 192.169.2.4 ) 1 179.00 UNLIMITED
  D159 ( 192.169.2.12 192.169.2.5 ) 1 108.00 UNLIMITED
  D160 ( 192.169.2.12 192.169.2.6 ) 1 156.00 UNLIMITED
  D161 ( 192.169.2.12 192.169.2.7 ) 1 72.00 UNLIMITED
  D162 ( 192.169.2.12 192.169.2.8 ) 1 179.00 UNLIMITED
  D163 ( 192.169.2.12 192.169.2.9 ) 1 334.00 UNLIMITED
  D164 ( 192.169.2.12 192.169.2.10 ) 1 1439.00 UNLIMITED
  D165 ( 192.169.2.12 192.169.2.11 ) 1 286.00 UNLIMITED
  D166 ( 192.169.2.12 192.169.2.13 ) 1 97.00 UNLIMITED
  D167 ( 192.169.2.12 192.169.2.14 ) 1 97.00 UNLIMITED
  D168 ( 192.169.2.12 192.169.2.15 ) 1 934.00 UNLIMITED
  D169 ( 192.169.2.13 192.169.2.1 ) 1 393.00 UNLIMITED
  D170 ( 192.169.2.13 192.169.2.2 ) 1 678.00 UNLIMITED
  D171 ( 192.169.2.13 192.169.2.3 ) 1 107.00 UNLIMITED
  D172 ( 192.169.2.13 192.169.2.4 ) 1 1819.00 UNLIMITED
  D173 ( 192.169.2.13 192.169.2.5 ) 1 107.00 UNLIMITED
  D174 ( 192.169.2.13 192.169.2.6 ) 1 192.00 UNLIMITED
  D175 ( 192.169.2.13 192.169.2.7 ) 1 72.00 UNLIMITED
  D176 ( 192.169.2.13 192.169.2.8 ) 1 191.00 UNLIMITED
  D177 ( 192.169.2.13 192.169.2.9 ) 1 72.00 UNLIMITED
  D178 ( 192.169.2.13 192.169.2.10 ) 1 1082.00 UNLIMITED
  D179 ( 192.169.2.13 192.169.2.11 ) 1 727.00 UNLIMITED
  D180 ( 192.169.2.13 192.169.2.12 ) 1 121.00 UNLIMITED
  D181 ( 192.169.2.13 192.169.2.14 ) 1 313.00 UNLIMITED
  D182 ( 192.169.2.13 192.169.2.15 ) 1 193.00 UNLIMITED
  D183 ( 192.169.2.14 192.169.2.1 ) 1 1855.00 UNLIMITED
  D184 ( 192.169.2.14 192.169.2.2 ) 1 500.00 UNLIMITED
  D185 ( 192.169.2.14 192.169.2.3 ) 1 48.00 UNLIMITED
  D186 ( 192.169.2.14 192.169.2.4 ) 1 191.00 UNLIMITED
  D187 ( 192.169.2.14 192.169.2.5 ) 1 49.00 UNLIMITED
  D188 ( 192.169.2.14 192.169.2.6 ) 1 286.00 UNLIMITED
  D189 ( 192.169.2.14 192.169.2.7 ) 1 85.00 UNLIMITED
  D190 ( 192.169.2.14 192.169.2.8 ) 1 287.00 UNLIMITED
  D191 ( 192.169.2.14 192.169.2.9 ) 1 143.00 UNLIMITED
  D192 ( 192.169.2.14 192.169.2.10 ) 1 1355.00 UNLIMITED
  D193 ( 192.169.2.14 192.169.2.11 ) 1 464.00 UNLIMITED
  D194 ( 192.169.2.14 192.169.2.12 ) 1 120.00 UNLIMITED
  D195 ( 192.169.2.14 192.169.2.13 ) 1 370.00 UNLIMITED
  D196 ( 192.169.2.14 192.169.2.15 ) 1 97.00 UNLIMITED
  D197 ( 192.169.2.15 192.169.2.1 ) 1 833.00 UNLIMITED
  D198 ( 192.169.2.15 192.169.2.2 ) 1 2212.00 UNLIMITED
  D199 ( 192.169.2.15 192.169.2.3 ) 1 512.00 UNLIMITED
  D200 ( 192.169.2.15 192.169.2.4 ) 1 227.00 UNLIMITED
  D201 ( 192.169.2.15 192.169.2.5 ) 1 108.00 UNLIMITED
  D202 ( 192.169.2.15 192.169.2.6 ) 1 321.00 UNLIMITED
  D203 ( 192.169.2.15 192.169.2.7 ) 1 227.00 UNLIMITED
  D204 ( 192.169.2.15 192.169.2.8 ) 1 619.00 UNLIMITED
  D205 ( 192.169.2.15 192.169.2.9 ) 1 299.00 UNLIMITED
  D206 ( 192.169.2.15 192.169.2.10 ) 1 797.00 UNLIMITED
  D207 ( 192.169.2.15 192.169.2.11 ) 1 191.00 UNLIMITED
  D208 ( 192.169.2.15 192.169.2.12 ) 1 1118.00 UNLIMITED
  D209 ( 192.169.2.15 192.169.2.13 ) 1 228.00 UNLIMITED
  D210 ( 192.169.2.15 192.169.2.14 ) 1 120.00 UNLIMITED
)

# ADMISSIBLE PATHS SECTION
#
# <demand_id> ( {<path_id> ( <link_id>+ )}+ )

ADMISSIBLE_PATHS ( 
)
